iter	Logloss
0	0.6780479975
1	0.6549817804
2	0.6328726055
3	0.6139651589
4	0.5969101781
5	0.5625573455
6	0.5391411108
7	0.5255474289
8	0.5011033799
9	0.4963349352
10	0.4851992553
11	0.4642598608
12	0.4431893013
13	0.4322678034
14	0.4214180238
15	0.4123046388
16	0.4011678491
17	0.3954241017
18	0.3925921353
19	0.3884703756
20	0.3823101584
21	0.3779153999
22	0.3703060972
23	0.3649745191
24	0.3611669767
25	0.3565985314
26	0.3547003904
27	0.3512706374
28	0.3497826737
29	0.348337457
30	0.3471566372
31	0.3460239081
32	0.3421349713
33	0.3411417313
34	0.3379143494
35	0.3362130337
36	0.3343743017
37	0.3332408692
38	0.3320537429
39	0.3313711105
40	0.3298746191
41	0.3292925478
42	0.3268861357
43	0.3263064385
44	0.3241727712
45	0.3225200031
46	0.3220792228
47	0.3214803469
48	0.321023631
49	0.3206108661
50	0.31949437
51	0.3189531333
52	0.318683511
53	0.317957776
54	0.3174319564
55	0.3166950197
56	0.3154979214
57	0.315119318
58	0.3147803845
59	0.3138560664
60	0.3134757145
61	0.3130803476
62	0.3126025336
63	0.3119210485
64	0.3116728729
65	0.3114348231
66	0.3112403528
67	0.310879422
68	0.3100639235
69	0.3097320848
70	0.3094457477
71	0.3092062336
72	0.3087493372
73	0.3084148458
74	0.307909864
75	0.307525555
76	0.3073215425
77	0.3066431221
78	0.3064586309
79	0.3061988677
80	0.3056312072
81	0.3050679561
82	0.3047456055
83	0.3044684698
84	0.303880118
85	0.303670778
86	0.3031186051
87	0.30292613
88	0.3026503478
89	0.3023794033
90	0.3021224708
91	0.301939251
92	0.3017101923
93	0.301562492
94	0.3013808709
95	0.3009208891
96	0.3006996312
97	0.3004798102
98	0.2999015846
99	0.2997484511
100	0.2995147751
101	0.298976964
102	0.2987728342
103	0.2985831377
104	0.2983650686
105	0.2981807487
106	0.2980444356
107	0.2978353756
108	0.2976242646
109	0.2973345705
110	0.2971228642
111	0.2968854528
112	0.2966672399
113	0.2965180709
114	0.2963337123
115	0.2961368222
116	0.2955130851
117	0.295333086
118	0.295153112
119	0.2949579347
120	0.2943677078
121	0.2940279155
122	0.2937338381
123	0.293488549
124	0.2932812694
125	0.2929744352
126	0.2927664372
127	0.2922173989
128	0.2919478569
129	0.2916828879
130	0.2914056648
131	0.2912710439
132	0.291065152
133	0.2907804701
134	0.2905328862
135	0.2903669077
136	0.2901963596
137	0.2900563225
138	0.2898837244
139	0.2895713449
140	0.2894166561
141	0.2889250748
142	0.2886879581
143	0.2884523141
144	0.2882859524
145	0.2880428846
146	0.2878509503
147	0.2875884262
148	0.2873621889
149	0.2870959207
150	0.2868077164
151	0.2865434958
152	0.2863572759
153	0.2861675314
154	0.2859723849
155	0.2857464716
