iter	Logloss
156	0.285582579
157	0.2852822214
158	0.2851281792
159	0.2849431114
160	0.2848108995
161	0.2846417255
162	0.2844769375
163	0.2842143605
164	0.2839499633
165	0.2837119446
166	0.2831725879
167	0.283038576
168	0.282919715
169	0.2827515707
170	0.2825521358
171	0.282385529
172	0.2819350751
173	0.2816864705
174	0.2815136467
175	0.2812869565
176	0.2811432205
177	0.2809259619
178	0.2807219201
179	0.280518528
180	0.280129644
181	0.2798177405
182	0.2796267431
183	0.2794749409
184	0.279290169
185	0.2790807338
186	0.2787747291
187	0.2785432846
188	0.2783610434
189	0.2781342985
190	0.277699532
191	0.2775071547
192	0.2772958474
193	0.2770981045
194	0.27692897
195	0.2767666467
196	0.2765223794
197	0.2762638176
198	0.2759789457
199	0.2758006886
200	0.2756137452
201	0.2753696803
202	0.275224189
203	0.2747906329
204	0.2745879762
205	0.2744465379
206	0.2742959942
207	0.2741195741
208	0.2739246513
209	0.2738039676
210	0.2735956531
211	0.2734056422
212	0.2732645507
213	0.2730420786
214	0.2728420677
215	0.2725916354
216	0.2724047079
217	0.2721202392
218	0.2718466355
219	0.271643713
220	0.2714479449
221	0.2712324108
222	0.2710280986
223	0.2708921904
224	0.2706514438
225	0.2704762103
226	0.2702980772
227	0.270134591
228	0.2699535734
229	0.2697112887
230	0.2695174683
231	0.269378049
232	0.2691984259
233	0.2690060375
234	0.2688338375
235	0.2686670062
236	0.2685122011
237	0.2683389797
238	0.2681840671
239	0.268008944
240	0.2678150491
241	0.2676410947
242	0.2675069154
243	0.2673540676
244	0.2671818685
245	0.2670549377
246	0.2669248524
247	0.2667418413
248	0.2665747146
249	0.2663299561
250	0.2661430716
251	0.2659205865
252	0.2656023119
253	0.2654683075
254	0.2653689618
255	0.2652147914
256	0.2650331674
257	0.2648709723
258	0.264699748
259	0.2645630093
260	0.2644074042
261	0.2641026107
262	0.2638831045
263	0.2636918533
264	0.2635759143
265	0.2633897534
266	0.2632471857
267	0.2630768803
268	0.2628929382
269	0.2627168411
270	0.2625533764
271	0.2624257778
272	0.2622751721
273	0.2621115493
274	0.2619533521
275	0.2617554632
276	0.2616064544
277	0.261433564
278	0.2612526535
279	0.2610332292
280	0.2608633041
281	0.2606671908
282	0.2605185193
283	0.2603199755
284	0.2601699801
285	0.2600179037
286	0.2598110841
287	0.259638229
288	0.2594444577
289	0.2592350968
290	0.2591133112
291	0.2589016519
292	0.2587126475
293	0.2584085398
294	0.2581041934
295	0.257939717
296	0.257777019
297	0.2576057796
298	0.257398057
299	0.2571861893
300	0.2570086635
301	0.2567038371
302	0.256526139
303	0.2563405955
304	0.2562142586
305	0.2560838863
306	0.2559053073
307	0.2557654232
308	0.2555945126
309	0.255437038
310	0.2552642392
311	0.2550464011
312	0.2549128479
313	0.2547701431
314	0.2546094895
315	0.2544516736
316	0.2542904925
317	0.2541941944
318	0.254065823
319	0.2539110485
320	0.2537765486
321	0.2536018806
322	0.2534144859
323	0.2532510478
324	0.2531028353
325	0.2529237129
326	0.2527565545
327	0.2525713093
328	0.2522857298
329	0.2521336019
330	0.2519829068
331	0.2517752743
332	0.2516132963
333	0.2514646363
334	0.2513244464
335	0.2511915842
336	0.2510458116
337	0.2508760412
338	0.2507055755
339	0.2505391743
340	0.2503967789
341	0.2502239815
342	0.2500338848
343	0.2499309658
344	0.249790974
345	0.2496362063
346	0.2494751679
347	0.2493061558
348	0.2491850515
349	0.2490145837
350	0.248877765
351	0.2487812299
352	0.2486624615
353	0.2484861376
354	0.2482408608
355	0.2481120752
356	0.2480034762
357	0.2479220803
358	0.2477493346
359	0.2475849277
360	0.2474347411
361	0.2472965469
362	0.2471622145
363	0.247081541
364	0.2469926114
365	0.2468722862
366	0.2467598029
367	0.2466302887
368	0.2464739474
369	0.2463102881
370	0.2462004624
371	0.2460665581
372	0.2459848483
373	0.2458114386
374	0.2455810115
375	0.2454420844
376	0.2452976175
377	0.245198234
378	0.2450197816
379	0.2448882275
380	0.2447794922
381	0.2446615387
382	0.2445183721
383	0.2443457322
384	0.244172853
385	0.2440771494
386	0.2439339594
387	0.2436846662
388	0.2435274431
389	0.2433646103
390	0.2431706284
391	0.2430488172
392	0.2428979444
393	0.2427786211
394	0.2426419238
395	0.2424854149
396	0.2423053015
397	0.2421510595
398	0.2420335633
399	0.2418462714
400	0.2416838092
